id,Batch_Log_ID,prod
7616,AFZ0JJM286,KFX
7617,AFZ0JDHLK3,KFY
7618,AFZ0JDCUF8,KFZ
7619,AFZ0JCWEEL,KGA
7620,AFZ0JCW4RV,KGB
7621,AFZ0J8Z1A7,KGC
7622,AFZ0INWNJH,KGD
7623,AFZ0IEMMIU,KGE
7624,AFZ0IEA654,KGF
7775,AFYWPYT1T2,KMA
7776,AFYWA3THIF,KMB
7777,AFYWA2V2S2,KMC
7778,AFYW9ZVIZP,KMD
7779,AFYW9ZNT0B,KME
7780,AFYW9ZKJL1,KMF
7781,AFYW952IX6,KMG
7782,AFYW91NM7S,KMH
7783,AFYW91KWBG,KMI
7784,AFYW8ZYWVN,KMJ
7785,AFYW8Y76TB,KMK
7786,AFYW8USZ6F,KML
7787,AFYW8S16KR,KMM
7788,AFYW8K1EX6,KMN
7789,AFYW8G2IZN,KMO
7790,AFYW7P1AQU,KMP
7791,AFYW7N3JA8,KMQ
7792,AFYW6Y4C4Y,KMR
7793,AFYW6XXESB,KMS
7794,AFYW6WQMTF,KMT
7795,AFYW6WFYPG,KMU
7796,AFYW6AL8P0,KMV
7797,AFYW69KWGG,KMW
7798,AFYW5T1W4D,KMX
7799,AFYVR3LEJ0,KMY
7800,AFYVQYAF5K,KMZ
7801,AFYVQXSV1N,KNA
7802,AFYVQXQMG9,KNB
7803,AFYVQIJQ2L,KNC
7804,AFYVQHT0U1,KND
7805,AFYVPXRKCL,KNE
7806,AFYVPRGRVG,KNF
7807,AFYVPJW01R,KNG
7808,AFYVPIW41X,KNH
7809,AFYVPF35CN,KNI
7810,AFYVNRPTNG,KNJ
7811,AFYVN3DGPU,KNK
7812,AFYVN2K2V9,KNL
7813,AFYVN08NAZ,KNM
7814,AFYVMZXXUE,KNN
7815,AFYVMV1HI7,KNO
7816,AFYVM1SWJE,KNP
7817,AFYVLYLSII,KNQ
7818,AFYVLYBVAJ,KNR
7819,AFYVLQ76VF,KNS
7820,AFYV6W9ZRN,KNT
7821,AFYV6W624Q,KNU
7822,AFYV6W3KWR,KNV
7823,AFYV6W11TN,KNW
7824,AFYV6VYFIK,KNX
7825,AFYV5XM07G,KNY
7826,AFYV5VFYFD,KNZ
7827,AFYV5VB2G8,KOA
7828,AFYV5V1KH3,KOB
7829,AFYV5QP4NJ,KOC
7830,AFYV5CSLTS,KOD
7831,AFYV4XVI82,KOE
7832,AFYV4TDXTJ,KOF
7833,AFYV4KGD53,KOG
7834,AFYV4CBE9D,KOH
7835,AFYV486RXG,KOI
7836,AFYV481WA0,KOJ
7837,AFYV4626V5,KOK
7838,AFYV3UDJ9J,KOL
7839,AFYV3TNNEU,KOM
7840,AFYV3TJ57X,KON
7841,AFYV3F0HA3,KOO
7842,AFYV2Q9VP7,KOP
7843,AFYUMZ8SIP,KOQ
7844,AFYUMYUPTU,KOR
7845,AFYUMV1MN3,KOS
7846,AFYUMEPKMA,KOT
7847,AFYUMATW14,KOU
7848,AFYULX655Y,KOV
7849,AFYULVMB61,KOW
7850,AFYULUVB9L,KOX
7851,AFYULPQDGL,KOY
7852,AFYULPII5D,KOZ
7853,AFYULFQR0D,KPA
7854,AFYULB71NP,KPB
7855,AFYUKXB95W,KPC
7856,AFYUKHDMFK,KPD
7857,AFYUKCKTVA,KPE
7858,AFYUK4BVU4,KPF
7859,AFYUJYRC4E,KPG
7860,AFYUJXYD1A,KPH
7861,AFYUJU2RPN,KPI
7862,AFYUJTIYV5,KPJ
7863,AFYUJRVN11,KPK
7864,AFYUJ6CGKB,KPL
7865,AFYU3Z6PPS,KPM
7866,AFYU3UIEKL,KPN
7867,AFYU38I0MI,KPO
7868,AFYU2LNHD1,KPP
7869,AFYU1U6LAJ,KPQ
7870,AFYU1C7YLM,KPR
7871,AFYU13QXJX,KPS
7872,AFYU0L7PVC,KPT
7873,AFYU0BTPTH,KPU
7874,AFYTJY1YM8,KPV
7875,AFYTJQURG5,KPW
7876,AFYTISNJSU,KPX
7877,AFYTIFGUBP,KPY
7878,AFYTI0GY9J,KPZ
7879,AFYTHU51RK,KQA
7880,AFYTHNYW9S,KQB
7881,AFYTHGVPL8,KQC
7882,AFYTHFL7S4,KQD
7883,AFYTH8AUA7,KQE
7884,AFYTH7YXAN,KQF
7885,AFYTH7YWY4,KQG
7886,AFYTH3RM02,KQH
7887,AFYTGVCXXU,KQI
7888,AFYTGVC9CJ,KQJ
7889,AFYTGR6GI5,KQK
7890,AFYTGPZJS5,KQL
7891,AFYTFT4FJS,KQM
7892,AFYTFT3QPF,KQN
7893,AFYTFRQ4UK,KQO
7894,AFYTFJ8ZDU,KQP
7895,AFYT0UJ3ZW,KQQ
7896,AFYT0QMSX0,KQR
7897,AFYT0Q9MFA,KQS
7898,AFYT0Q4HI4,KQT
7899,AFYSZQTD65,KQU
7900,AFYSZCVT3H,KQV
7901,AFYSZBWIZ3,KQW
7902,AFYSZBQWKF,KQX
7903,AFYSZ7XW6Q,KQY
7904,AFYSZ7U7NW,KQZ
7905,AFYSZ7JDT1,KRA
7906,AFYSZ1CAXG,KRB
7907,AFYSYRLCGW,KRC
7908,AFYSYMW1SE,KRD
7909,AFYSYA10NW,KRE
7910,AFYSY6ZJ67,KRF
7911,AFYSY25H6S,KRG
7912,AFYSXTSB8H,KRH
7913,AFYSXTP7IU,KRI
7914,AFYSXTI97R,KRJ
7915,AFYSXTFAGJ,KRK
7916,AFYSXPIC1M,KRL
7917,AFYSXLKMXE,KRM
7918,AFYSX7UIXH,KRN
7919,AFYSX7UAZF,KRO
7920,AFYSWNLEA0,KRP
7921,AFYSWJWVMP,KRQ
7922,AFYSGUN89G,KRR
7923,AFYSGPTVGK,KRS
8074,AFYP5Y58IS,KXN
8075,AFYP5HW0UX,KXO
8076,AFYP5H8RG5,KXP
8077,AFYP5CCFG7,KXQ
8078,AFYP566HBT,KXR
8079,AFYP5096UY,KXS
8080,AFYP4ZX0FD,KXT
8081,AFYP4XMBTV,KXU
8082,AFYP4WS2W4,KXV
8083,AFYP4SMRI7,KXW
8084,AFYP4E6P3G,KXX
8085,AFYP4E09HQ,KXY
8086,AFYP4DMM63,KXZ
8087,AFYP41VL6K,KYA
8088,AFYP40UXQA,KYB
8089,AFYP3GZH8Y,KYC
8090,AFYP3EQJ1M,KYD
8091,AFYP3D6HB6,KYE
8092,AFYP38QD3M,KYF
8093,AFYNNIRD52,KYG
8094,AFYNNETV2J,KYH
8095,AFYNNDTB2Z,KYI
8096,AFYNNDGQW3,KYJ
8097,AFYNN8RR4G,KYK
8098,AFYNMU8EKB,KYL
8099,AFYNMSWA7I,KYM
8100,AFYNMNB04R,KYN
8101,AFYNMLJYF2,KYO
8102,AFYNMF40S3,KYP
8103,AFYNM9YX1B,KYQ
8104,AFYNM9PKAN,KYR
8105,AFYNM8A56P,KYS
8106,AFYNM7ZF1I,KYT
8107,AFYNM7YXE8,KYU
8108,AFYNLX7Z6G,KYV
8109,AFYNLW5R1C,KYW
8110,AFYNLTK215,KYX
8111,AFYNLML17J,KYY
8112,AFYNLIKGQ2,KYZ
8113,AFYNL9E3CM,KZA
8114,AFYNL32931,KZB
8115,AFYNL2M9S2,KZC
8116,AFYNL26MSG,KZD
8117,AFYNKK4WD8,KZE
8118,AFYNKCIJN3,KZF
8119,AFYNKC6U05,KZG
8120,AFYNKC6T1N,KZH
8121,AFYNKC6NXU,KZI
8122,AFYNKC001S,KZJ
8123,AFYNJT0GAD,KZK
8124,AFYNJK7AGJ,KZL
8125,AFYNJ5JJKB,KZM
8126,AFYN4CYSIT,KZN
8127,AFYN4CRBV2,KZO
8128,AFYN4BYX2R,KZP
8129,AFYN3RYK38,KZQ
8130,AFYN3R80P3,KZR
8131,AFYN3KV6TV,KZS
8132,AFYN3JQHXX,KZT
8133,AFYN3FRRRE,KZU
8134,AFYN3E4GPK,KZV
8135,AFYN38D698,KZW
8136,AFYN36URK5,KZX
8137,AFYN30K83Q,KZY
8138,AFYN2VBE8T,KZZ
8139,AFYN2TN8MB,LAA
8140,AFYN2T9F6H,LAB
8141,AFYN2LIZWF,LAC
8142,AFYN2DY17B,LAD
8143,AFYN28QYLW,LAE
8144,AFYN22X70Q,LAF
8145,AFYN22NVI3,LAG
8146,AFYN1XGI79,LAH
8147,AFYN1WLM9M,LAI
8148,AFYN1Q9WWJ,LAJ
8149,AFYN1FQQRQ,LAK
8150,AFYN1C2380,LAL
8151,AFYN1BY7RM,LAM
8152,AFYN1BW3HD,LAN
8153,AFYN194HDV,LAO
8154,AFYN0XC63E,LAP
8155,AFYN0E0UUH,LAQ
8156,AFYN0APTYE,LAR
8157,AFYN06RFE6,LAS
8158,AFYMKGK188,LAT
8159,AFYMKBUXQ3,LAU
8160,AFYMKAWD0P,LAV
8161,AFYMKAIEFI,LAW
8162,AFYMKAH71X,LAX
8163,AFYMJWCZN7,LAY
8164,AFYMJW3GPZ,LAZ
8165,AFYMJSVBPP,LBA
8166,AFYMJJN9C4,LBB
8167,AFYMJISPPT,LBC
8168,AFYMJIILSQ,LBD
8169,AFYMJ6S55V,LBE
8170,AFYMJ66YPD,LBF
8171,AFYMJ4VNE4,LBG
8172,AFYMIXVBJF,LBH
8173,AFYMITXVQF,LBI
8174,AFYMIT41GA,LBJ
8175,AFYMISQ268,LBK
8176,AFYMISLK9I,LBL
8177,AFYMIJZP9I,LBM
8178,AFYMICCFQR,LBN
8179,AFYMI9BFWZ,LBO
8180,AFYMI2R1KV,LBP
8181,AFYMI17T1T,LBQ
8182,AFYMHZXKV8,LBR
8183,AFYMHSTKQY,LBS
8184,AFYMHEP441,LBT
8185,AFYMHAD0GJ,LBU
8186,AFYMH9YSK9,LBV
8187,AFYMGX0H1W,LBW
8188,AFYMGNMFMK,LBX
8189,AFYMGGKAXH,LBY
8190,AFYMGCHHWG,LBZ
8191,AFYMG5MWWU,LCA
8192,AFYMG4K26G,LCB
8193,AFYM1FQIBP,LCC
8194,AFYM19PU8S,LCD
8195,AFYM196TXY,LCE
8196,AFYM18V1YL,LCF
8197,AFYM10XQG5,LCG
8198,AFYM0VSY1P,LCH
8199,AFYM0QL5GJ,LCI
8200,AFYM0GQ7U9,LCJ
8201,AFYM0GNMX7,LCK
8202,AFYM0FUSSE,LCL
8203,AFYM0BLFVA,LCM
8204,AFYM04VY3U,LCN
8205,AFYM047SCB,LCO
8206,AFYM02RCBG,LCP
8207,AFYLZYJ25X,LCQ
8208,AFYLZY2CBX,LCR
8209,AFYLZVXQJ3,LCS
8210,AFYLZT4S6T,LCT
8211,AFYLZRV59M,LCU
8212,AFYLZRREH4,LCV
8213,AFYLZCTJL6,LCW
8214,AFYLZCGDLB,LCX
8215,AFYLZ6RVIN,LCY
8216,AFYLZ4EI68,LCZ
8217,AFYLYYYMYU,LDA
8218,AFYLYQVU9I,LDB
8219,AFYLYM3QAL,LDC
8220,AFYLYFI1JE,LDD
8221,AFYLYDUBW6,LDE
8222,AFYLYCX0B0,LDF
8373,AFYIQNFZSQ,LJA
8374,AFYIQJ2KL7,LJB
8375,AFYIQHH5WA,LJC
8376,AFYIQHEAC9,LJD
8377,AFYIQ4IYKQ,LJE
8378,AFYIPQT8FS,LJF
8379,AFYIPPRD43,LJG
8380,AFYIPIHQ6N,LJH
8381,AFYIPE8FY8,LJI
8382,AFYIPDTQM5,LJJ
8383,AFYIP7P2AN,LJK
8384,AFYIP0PYLK,LJL
8385,AFYINZWUL3,LJM
8386,AFYINZW6Z7,LJN
8387,AFYINZCSTR,LJO
8388,AFYINZ5ICL,LJP
8389,AFYINYYHQC,LJQ
8390,AFYINUR8CB,LJR
8391,AFYIN1QLMV,LJS
8392,AFYIN0DN4W,LJT
8393,AFYIN0129Y,LJU
8394,AFYIMU678X,LJV
8395,AFYI84S9KN,LJW
8396,AFYI7ZZPUX,LJX
8397,AFYI7ZXYCX,LJY
8398,AFYI7G0MJN,LJZ
8399,AFYI78J6FQ,LKA
8400,AFYI71Y5YP,LKB
8401,AFYI6ZYRRX,LKC
8402,AFYI6MXPC5,LKD
8403,AFYI6LTFLZ,LKE
8404,AFYI6L4SS0,LKF
8405,AFYI6H0PXI,LKG
8406,AFYI6GM0YF,LKH
8407,AFYI63NY3Y,LKI
8408,AFYI62MDIF,LKJ
8409,AFYI5Q41YU,LKK
8410,AFYI5JZA2R,LKL
8411,AFYI5IAVR0,LKM
8412,AFYI56RDY5,LKN
8413,AFYI56D6RR,LKO
8414,AFYI54SCS2,LKP
8415,AFYI501E64,LKQ
8416,AFYI4Y5P2Z,LKR
8417,AFYHLLW8RH,LKS
8418,AFYHLG3WDF,LKT
8419,AFYH0YC4U7,LKU
8420,AFYGKQHY82,LKV
8421,AFYGIIRBX1,LKW
8422,AFYGI0Y8VR,LKX
8423,AFYGHYTCII,LKY
8424,AFYGHTGW85,LKZ
8425,AFYGGN7TQT,LLA
8426,AFYG1TU5W9,LLB
8427,AFYFYY9XQU,LLC
8428,AFYFYXLIXI,LLD
8429,AFYFXUEQK6,LLE
8430,AFYFGV8PDA,LLF
8431,AFYFGUC7KF,LLG
8432,AFYFGM9B9Z,LLH
8433,AFYFGLEC8Z,LLI
8434,AFYFGLDZIB,LLJ
8435,AFYFGFJ6MC,LLK
8436,AFYFGEH41X,LLL
8437,AFYFGA764L,LLM
8438,AFYFG8ZUKE,LLN
8439,AFYFG8V6HZ,LLO
8440,AFYFFWGBYV,LLP
8441,AFYFFBW45G,LLQ
8442,AFYFF5VVFZ,LLR
8443,AFYFF50JRU,LLS
8444,AFYFEW8CIX,LLT
8445,AFYFES7I62,LLU
8446,AFYFES1LLW,LLV
8447,AFYFEQB08H,LLW
8448,AFYFE845AU,LLX
8449,AFYFDSPDYN,LLY
8450,AFYFDQWISJ,LLZ
8451,AFYEYXVCJ8,LMA
8452,AFYEYSXJ83,LMB
8453,AFYEY7ISBX,LMC
8454,AFYEY04NXQ,LMD
8455,AFYEXY54N7,LME
8456,AFYEXSXW8G,LMF
8457,AFYEXS08KY,LMG
8458,AFYEXEVQ91,LMH
8459,AFYEXETNGZ,LMI
8460,AFYEXDHBWT,LMJ
8461,AFYEX8TZ9M,LMK
8462,AFYEX7RJIP,LML
8463,AFYEX7BT7L,LMM
8464,AFYEWVP7NW,LMN
8465,AFYEWUESF1,LMO
8466,AFYEWNTJU1,LMP
8467,AFYEWN663F,LMQ
8468,AFYEWGGULH,LMR
8469,AFYEW8RABD,LMS
8470,AFYEW50PHY,LMT
8471,AFYEVXHAQV,LMU
8472,AFYEVV6FU5,LMV
8473,AFYEVQAYRB,LMW
8474,AFYEVPPM3K,LMX
8475,AFYEUKHX68,LMY
8476,AFYEUKBN1Q,LMZ
8477,AFYEER4E5W,LNA
8478,AFYEC36UDE,LNB
8479,AFYEBQ6EGS,LNC
8480,AFYEBIBERE,LND
8481,AFYEAPG2BQ,LNE
8482,AFYDVMVS8N,LNF
8483,AFYDVHLMDK,LNG
8484,AFYDTIHY07,LNH
8485,AFYDSTVSMX,LNI
8486,AFYDAQPIAV,LNJ
8487,AFYDAIUUJJ,LNK
8488,AFYDAIQ985,LNL
8489,AFYDAHANDV,LNM
8490,AFYDAG6SZF,LNN
8491,AFYDAARXYA,LNO
8492,AFYDA2DV51,LNP
8493,AFYD9XE3X5,LNQ
8494,AFYD9QWUTM,LNR
8495,AFYD9H4LDK,LNS
8496,AFYD9E6XPM,LNT
8497,AFYD95X5C7,LNU
8498,AFYD94ENSL,LNV
8499,AFYD8TMYJP,LNW
8500,AFYD8SQ9R7,LNX
8501,AFYD8M2XXF,LNY
8502,AFYD81H2BL,LNZ
8503,AFYD7NATL5,LOA
8504,AFYD7GW8TS,LOB
8505,AFYD7GBYC1,LOC
8506,AFYD7F87JZ,LOD
8507,AFYCSKYWID,LOE
8508,AFYCSKJL9Z,LOF
8509,AFYCSKBDGV,LOG
8510,AFYCSD5P4F,LOH
8511,AFYCSCKU7Y,LOI
8512,AFYCRZV2WM,LOJ
8513,AFYCRZ1PZA,LOK
8514,AFYCRYZLT6,LOL
8515,AFYCRVNE95,LOM
8516,AFYCRT9JTT,LON
8517,AFYCRE9NR1,LOO
8518,AFYCRB6WDG,LOP
8519,AFYCRB6978,LOQ
8520,AFYCR7SL4K,LOR
8521,AFYCR4B8Z6,LOS
8672,AFY9IBFN25,LUN
8673,AFY9H76G7N,LUO
8674,AFY9H23ZMZ,LUP
8675,AFY9GVR36Z,LUQ
8676,AFY9GP3Z3Q,LUR
8677,AFY9GLT2IB,LUS
8678,AFY9GFXINN,LUT
8679,AFY9GEDUTP,LUU
8680,AFY9G7L58D,LUV
8681,AFY9G7ELK2,LUW
8682,AFY9FPHGIF,LUX
8683,AFY9FHXY12,LUY
8684,AFY9FHXSYH,LUZ
8685,AFY9FBTAGM,LVA
8686,AFY9FBCWPB,LVB
8687,AFY9FB4NGA,LVC
8688,AFY9FAMCLH,LVD
8689,AFY9F3NF0N,LVE
8690,AFY9EW1ESU,LVF
8691,AFY9ES9M97,LVG
8692,AFY9ECNW42,LVH
8693,AFY9ECLWTK,LVI
8694,AFY9EAM42L,LVJ
8695,AFY8ZGUWIA,LVK
8696,AFY8ZCD5W1,LVL
8697,AFY8ZBV9J8,LVM
8698,AFY8ZB5ZRR,LVN
